Timestamp,Endpoint,Allocated Memory (bytes),Total Allocated Memory (bytes),System Memory (bytes),Garbage Collections,Elapsed Time,CPU Usage (%),Memory Usage (KB)
2025-02-25T12:30:20+05:30,/items/create,234112,234112,6836224,0,36.6383ms,0.00,228.62
2025-02-25T12:30:21+05:30,/items/create,255560,255560,6836224,0,20.6173ms,0.00,249.57
2025-02-25T12:30:22+05:30,/items/create,266128,266128,6836224,0,26.116ms,0.00,259.89
2025-02-25T12:30:23+05:30,/items/create,284664,284664,6836224,0,10.2162ms,0.00,277.99
2025-02-25T12:38:27+05:30,/items/create,334232,334232,6836224,0,41.7692ms,28.49,%!f(uint64=18152868)
2025-02-25T12:46:33+05:30,/items/create,342600,342600,7098368,0,35.0168ms,48.72,%!f(uint64=17815972)
2025-02-25T12:46:34+05:30,/items/create,363384,363384,7098368,0,20.1033ms,68.40,%!f(uint64=17535852)
2025-02-25T12:46:35+05:30,/items/create,382048,382048,7098368,0,26.4919ms,69.45,%!f(uint64=17566132)
2025-02-25T12:49:00+05:30,/test/loop,339368,339368,7098368,0,0s,24.95,%!f(uint64=17548364)
2025-02-25T12:49:03+05:30,/test/loop,360096,360096,7098368,0,0s,61.19,%!f(uint64=17653516)
2025-02-25T21:23:37+05:30,/item,345696,345696,6836224,0,18.1398ms,23.84,19886868.00
2025-02-25T21:23:39+05:30,/item,370152,370152,6836224,0,640.5µs,50.00,19994916.00
2025-02-25T21:23:40+05:30,/item,392200,392200,6836224,0,557.6µs,61.11,19985888.00
2025-02-25T21:23:41+05:30,/item,412280,412280,6836224,0,521.9µs,57.35,19990868.00
2025-02-25T21:23:42+05:30,/item,423752,423752,6836224,0,602.1µs,63.00,20001332.00
2025-02-25T21:23:43+05:30,/item,435224,435224,6836224,0,520.7µs,89.77,20012700.00
2025-02-25T21:23:43+05:30,/item,446696,446696,6836224,0,570.5µs,91.25,19952008.00
2025-02-25T21:24:23+05:30,/item/last,463680,463680,6836224,0,5.5381ms,41.45,20008704.00
2025-02-25T21:24:24+05:30,/item/last,474840,474840,6836224,0,0s,86.14,19994880.00
2025-02-25T21:24:25+05:30,/item/last,485456,485456,6836224,0,940.9µs,73.68,19977344.00
2025-02-25T21:24:26+05:30,/item/last,496072,496072,6836224,0,562.9µs,71.92,19965392.00
2025-02-25T21:24:27+05:30,/item/last,506688,506688,6836224,0,504.7µs,59.92,20010504.00
2025-02-25T21:24:28+05:30,/item/last,517304,517304,6836224,0,511.8µs,80.91,19980144.00
2025-02-25T21:24:29+05:30,/item/last,527920,527920,6836224,0,503.5µs,75.95,19976264.00
2025-02-25T21:24:30+05:30,/item/last,538536,538536,6836224,0,771µs,95.93,19880880.00
2025-02-25T21:24:31+05:30,/item/last,549152,549152,6836224,0,0s,68.97,19865144.00
2025-02-25T21:24:32+05:30,/item/last,559768,559768,6836224,0,581.8µs,62.12,19868188.00
2025-02-25T21:24:35+05:30,/item/last,570384,570384,6836224,0,547.4µs,66.80,19857028.00
2025-02-25T22:29:33+05:30,/item/last,1758656,1758656,11292672,0,55.9477ms,0.00,20166012.00
2025-02-25T22:29:33+05:30,/item/last,1759248,1759248,11292672,0,54.9482ms,0.00,20166012.00
2025-02-25T22:29:33+05:30,/item/last,1758208,1758208,11292672,0,121.9901ms,0.00,20166012.00
2025-02-25T22:29:33+05:30,/item/last,1759184,1759184,11292672,0,38.5644ms,28.85,20166012.00
2025-02-25T22:29:33+05:30,/item/last,1784136,1784136,11292672,0,60.1605ms,0.00,20165612.00
2025-02-25T22:29:33+05:30,/item/last,1807928,1807928,11292672,0,68.2478ms,0.00,20170188.00
2025-02-25T22:29:33+05:30,/item/last,1811032,1811032,11292672,0,68.6319ms,0.00,20170188.00
2025-02-25T22:29:33+05:30,/item/last,1811624,1811624,11292672,0,135.6738ms,0.00,20170236.00
2025-02-25T22:29:33+05:30,/item/last,1830136,1830136,11292672,0,11.6169ms,50.00,20170132.00
2025-02-25T22:29:33+05:30,/item/last,1840016,1840016,11292672,0,74.9623ms,0.00,20170140.00
2025-02-25T22:29:33+05:30,/item/last,1849176,1849176,11292672,0,34.5966ms,0.00,20169888.00
2025-02-25T22:29:33+05:30,/item/last,1861032,1861032,11292672,0,0s,0.00,20169860.00
2025-02-25T22:29:33+05:30,/item/last,1873192,1873192,11292672,0,565.4µs,25.00,20169524.00
2025-02-25T22:29:33+05:30,/item/last,1881144,1881144,11292672,0,0s,0.00,20169464.00
2025-02-25T22:29:33+05:30,/item/last,1893976,1893976,11292672,0,0s,0.00,20169440.00
2025-02-25T22:29:33+05:30,/item/last,1900584,1900584,11292672,0,585.3µs,0.00,20169444.00
2025-02-25T22:29:33+05:30,/item/last,1913016,1913016,11292672,0,510.2µs,75.00,20169624.00
2025-02-25T22:29:33+05:30,/item/last,1924888,1924888,11292672,0,609.3µs,0.00,20169612.00
